lookback,step,unit1,unit2,act1,act2,optimizer,filterSize,poolSize,batchSize,drop2,dropRnn2
288,1,512,128,sigmoid,relu,RMSprop,3,2,60,0,0.05
144,4,128,512,sigmoid,sigmoid,RMSprop,5,6,60,0,0.2
288,1,128,32,tanh,tanh,Adam,5,2,30,0,0.2
144,4,32,128,tanh,relu,Adam,7,6,30,0,0
144,2,32,128,tanh,tanh,RMSprop,3,4,120,0,0
72,4,32,32,sigmoid,relu,Adam,5,2,120,0.05,0.05
288,4,32,512,relu,relu,Adam,3,2,60,0.05,0.05
144,4,512,32,relu,tanh,SGD,3,2,120,0.05,0.2
144,4,512,32,relu,tanh,SGD,3,6,120,0,0.05
144,4,32,128,tanh,relu,Adam,7,2,30,0.05,0.05
288,2,128,32,tanh,relu,SGD,3,6,60,0.05,0
72,2,128,128,relu,relu,SGD,5,6,120,0.05,0
144,2,32,128,tanh,tanh,RMSprop,3,2,120,0.2,0.2
144,1,512,32,relu,relu,RMSprop,7,4,30,0.05,0.2
288,2,512,128,sigmoid,sigmoid,Adam,7,2,120,0.2,0
